Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan
1,SC60,RL,65.0,8450,2,,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4.0,3.0,0.0,6.0,706,1.0,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,,Attchd,2003.0,RFn,2,548,3.0,3.0,2,0,61,0,0,0,0,,,,0,Feb,2008,WD,Normal,208500,3,2,,1.0,1.0,,4,2,2,2.0,1.0,1.0,2.0,1,2,35,9.0,12,4,,1644.0,,6,2,,548.0,,2,3.5,2566,1710,61,1.0,0
2,SC20,RL,80.0,9600,2,,4,Lvl,4,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4.0,3.0,3.0,5.0,978,1.0,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,3.0,Attchd,1976.0,RFn,2,460,3.0,3.0,2,298,0,0,0,0,0,,,,0,May,2007,WD,Normal,181500,2,3,,1.0,1.0,1.0,4,1,2,2.0,1.0,1.0,2.0,1,1,48,9.0,9,3,3.0,1380.0,,6,1,,460.0,1.0,1,2.5,2524,1262,0,0.0,0
3,SC60,RL,68.0,11250,2,,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4.0,3.0,1.0,6.0,486,1.0,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,3.0,Attchd,2001.0,RFn,2,608,3.0,3.0,2,0,42,0,0,0,0,,,,0,Sep,2008,WD,Normal,223500,3,2,,1.0,1.0,1.0,4,2,2,2.0,1.0,1.0,2.0,1,2,35,9.0,12,4,3.0,1824.0,,6,2,,608.0,1.0,2,3.5,2706,1786,42,1.0,0
4,SC70,RL,60.0,9550,2,,3,Lvl,4,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3.0,4.0,0.0,5.0,216,1.0,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,4.0,Detchd,1998.0,Unf,3,642,3.0,3.0,2,0,35,272,0,0,0,,,,0,Feb,2006,WD,Abnorml,140000,3,2,,1.0,1.0,2.0,4,2,2,2.0,1.0,2.0,1.0,1,1,35,9.0,9,4,4.0,1926.0,,6,1,,642.0,2.0,2,2.0,2473,1717,307,0.0,0
5,SC60,RL,84.0,14260,2,,3,Lvl,4,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4.0,3.0,2.0,6.0,655,1.0,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,3.0,Attchd,2000.0,RFn,3,836,3.0,3.0,2,192,84,0,0,0,0,,,,0,Dec,2008,WD,Normal,250000,3,2,,1.0,1.0,1.0,4,2,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,4,3.0,2508.0,,6,2,,836.0,1.0,2,3.5,3343,2198,84,1.0,0
6,SC50,RL,85.0,14115,2,,3,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4.0,3.0,0.0,6.0,732,1.0,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,,Attchd,1993.0,Unf,2,480,3.0,3.0,2,40,30,0,320,0,0,,MnPrv,Shed,700,Oct,2009,WD,Normal,143000,2,2,,1.0,1.0,,4,1,2,2.0,1.0,1.0,2.0,1,1,25,9.0,9,3,,1440.0,,4,1,,480.0,,1,2.5,2158,1362,350,0.0,0
7,SC20,RL,75.0,10084,2,,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5.0,3.0,2.0,6.0,1369,1.0,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,4.0,Attchd,2004.0,RFn,2,636,3.0,3.0,2,255,57,0,0,0,0,,,,0,Aug,2007,WD,Normal,307000,3,2,,1.0,1.0,2.0,4,2,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,4,4.0,1908.0,,6,2,,636.0,2.0,2,3.0,3380,1694,57,1.0,0
8,SC60,RL,,10382,2,,3,Lvl,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4.0,3.0,1.0,5.0,859,4.0,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,3.0,Attchd,1973.0,RFn,2,484,3.0,3.0,2,235,204,228,0,0,0,,,Shed,350,Nov,2009,WD,Normal,200000,3,2,,1.0,1.0,1.0,4,1,2,2.0,2.0,1.0,2.0,1,1,42,9.0,9,3,6.0,1452.0,,6,1,,484.0,2.0,1,3.5,3197,2090,432,1.0,0
9,SC50,RM,51.0,6120,2,,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0,1.0,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,3.0,Detchd,1931.0,Unf,2,468,2.0,3.0,2,90,0,205,0,0,0,,,,0,Apr,2008,WD,Abnorml,129900,3,2,,1.0,1.0,1.0,3,1,2,1.0,1.0,1.0,1.0,1,1,35,6.0,9,6,6.0,936.0,,6,1,,468.0,2.0,2,2.0,2726,1774,205,0.0,0
10,SC190,RL,50.0,7420,2,,4,Lvl,4,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,6.0,851,1.0,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,3.0,Attchd,1939.0,RFn,1,205,4.0,3.0,2,0,4,0,0,0,0,,,,0,Jan,2008,WD,Normal,118000,2,2,,1.0,2.0,1.0,4,1,2,2.0,1.0,1.0,1.0,1,1,30,12.0,9,6,6.0,820.0,,4,1,,410.0,2.0,2,2.0,2068,1077,4,0.0,0
